Quotation Expecting Day,Customer Name,Part Number,Product Name,Product Category,Quantity
2025-01-30,R.D.H.S - Jaffna,ODC0014,ITA CONTROL SERUM 1- 6 X 2 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,66039,CLEANING SOLUTION- 6 X 500 ML,BIOCHEMISTRY,2.0
2025-01-30,R.D.H.S - Jaffna,OSR0001,WASH SOLUTION- 6 X 2 L,BIOCHEMISTRY,4.0
2025-01-30,R.D.H.S - Jaffna,66318,ISE REFERENCE- 4 X 1000 ML,BIOCHEMISTRY,2.0
2025-01-30,R.D.H.S - Jaffna,66320,ISE BUFFER- 4 X 2000 ML,BIOCHEMISTRY,4.0
2025-01-30,R.D.H.S - Jaffna,66319,ISE MID STANDARD- 4 X 2000 ML,BIOCHEMISTRY,4.0
2025-01-30,R.D.H.S - Jaffna,ODC0011,HDL-CHOLESTEROL CALIBRATOR- 2 X 3 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,ODC0012,LDL-CHOLESTEROL CALIBRATOR- 2 X 1 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,ODR3021,SERUM PROTEIN MULTI CALIBRATOR (LEVEL 1-6) 1X2 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,66300,SYSTEM CALIBRATOR- 20 X 5 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,66316,ISE HIGH SERUM STANDARD- 4 X 100 ML,BIOCHEMISTRY,2.0
2025-01-30,R.D.H.S - Jaffna,00006799200,SAMPLE CUPS 0.5ML (1000/PK),COAGULATION,2.0
2025-01-30,R.D.H.S - Jaffna,81911,CONTRAD 70- 1.0 L,IMMUNOLOGY,2.0
2025-01-30,R.D.H.S - Jaffna,81912,CITRANOX- 1 X 1 GALLON,IMMUNOLOGY,2.0
2025-01-30,R.D.H.S - Jaffna,81901,REACTION/ALIQUOT VESSEL CARTRIDGES-1 BOX,IMMUNOLOGY,4.0
2025-01-30,R.D.H.S - Jaffna,81904,WASTE BAGS- ACCESS®- 1 BOX- 20 BAGS/BOX,IMMUNOLOGY,4.0
2025-01-30,R.D.H.S - Jaffna,B63284,ACCESS TSH (3RD IS) 2x100 DET,IMMUNOLOGY,5.0
2025-01-30,R.D.H.S - Jaffna,81910,SYSTEM CHECK SOLUTION,IMMUNOLOGY,4.0
2025-01-30,R.D.H.S - Jaffna,81906,SUBSTRATE- ACCESS®- 4 BOTTLES- 130 ML/BOTTLE,IMMUNOLOGY,4.0
2025-01-30,R.D.H.S - Jaffna,A16792,WASH BUFFER II- ACCESS®- 4 BOTTLES- 1.9 L/BOTTLE,IMMUNOLOGY,6.0
2025-01-30,R.D.H.S - Jaffna,B63285,ACCESS TSH (3RD IS) CALIBRATORS,IMMUNOLOGY,1.0
2025-01-30,R.D.H.S - Jaffna,33025,FERRITIN CALIBRATORS (S0-S5)- 1 SET,IMMUNOLOGY,1.0
2025-01-30,R.D.H.S - Jaffna,33880,FREE T4- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,1.0
2025-01-30,R.D.H.S - Jaffna,370,"Immunoassay Plus Control (Lyphochek), Trilevel – 12 x 5ml",BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,81902,SAMPLE CUPS- 2.0 ML/13 MM- 1 BAG,IMMUNOLOGY,2.0
2025-01-30,R.D.H.S - Jaffna,33020,FERRITIN- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,2.0
2025-01-30,R.D.H.S - Jaffna,33885,FREE T4 CALIBRATORS (S0-S5)- 1 SET,IMMUNOLOGY,1.0
